States,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
Andhra Pradesh,5.2,5.8,5.2,4,4.4,3.3,4.3,3.7,5.4,3.9,5.1,5.4
Assam,5.1,5.4,6.8,5,4.8,5.9,4.1,6.5,5.1,5.8,4.9,0.9
Bihar,8.7,11.5,11.3,12.2,10.6,10.6,13.8,11.8,10.1,12.7,13.1,10.7
Chhattisgarh,7.9,7.3,3.7,3.4,9.8,8.1,5.5,5.1,8.6,7.8,4.2,5.4
Delhi,12.2,11.6,13.1,8.4,12.3,12.7,14.6,13.6,20.4,12.5,16,11.2
Goa,7.5,7.1,8.9,9.3,2.8,10.7,11.8,3.7,3.5,10.4,24.7,11.8
Gujarat,5.8,5.5,4.5,3,3.4,5.5,4.8,3.9,6.2,5.2,5.9,4.4
Haryana,17.9,21.3,19,26.4,18.3,22.1,19.5,28.7,20.2,23,20.4,27.6
Himachal Pradesh,13.9,13.8,18.8,19.6,13.4,12.6,20.7,19.2,15.6,16.7,23.3,20.2
Jammu & Kashmir,17.1,15.2,15.2,10.6,16.3,14.7,16.3,22.4,19.9,20.7,14.6,12.5
Jharkhand,9.1,6.9,13.6,12.2,9.9,11.7,11.5,14.3,10.3,9.9,10.6,17
Karnataka,1.5,2,1.3,0.5,5.9,5.6,1.3,0.7,3.3,5.8,2.2,0.9
Kerala,6.6,7.4,6.4,8.8,6.4,8,6.2,9.1,5.4,7.4,5.8,9.2
Madhya Pradesh,4.8,6.5,5.4,6.5,3.7,4.9,4.9,5.5,4.4,3.4,3.7,3.9
Maharashtra,5.7,3.7,3.3,4.1,4.7,5.3,4.8,5.3,5.5,5.4,5.3,4.9
Meghalaya,2.6,6.4,2,2.3,4.1,5.1,1.7,1.6,1.2,4.3,1.8,2.5
Odisha,4.2,6.6,2.8,6.4,4,4.3,3,3.6,4.2,4.3,4.3,4.4
Puducherry,1.7,0.9,0.3,0.4,0.8,0,0,7.5,0.8,1.2,0.9,4
Punjab,10.5,12.4,9.8,7.5,10.7,12.6,10.4,8.7,11.3,13,8.3,8.4
Rajasthan,7.7,10.6,9.7,12.6,6.6,13.9,10.2,13.1,7.5,14.2,11.5,15
Sikkim,13.2,8.3,6.8,4.8,13.3,9,6.8,2.1,6.4,7.1,9.7,3.3
Tamil Nadu,2.2,1.9,1.7,1.2,0.9,1.2,4.8,5.8,1.8,1.3,2.5,5.7
Telangana,2.6,2.4,2.5,2.7,2,4.4,2.9,2.4,4.8,7.1,6.1,2.3
Tripura,32.6,26.2,23,25.4,30.9,26.4,23.4,27.9,31.2,27.3,25.8,28.6
Uttar Pradesh,9.6,9.5,8.9,11.1,11.3,11.2,9.8,12.3,8.1,10.2,8.1,9.4
Uttarakhand,3.5,5.1,5,6.4,3.6,4.7,6.1,6.5,5.1,4.8,5.8,5.4
West Bengal,7,6.5,6.1,6.5,6.4,6.3,6.3,6.1,6.4,7.1,6.1,6.2
India,6.9,7.2,6.7,7.3,7,7.9,7.3,8.2,7.1,8.1,7.2,7.6
